condition_id,family,level,dose,node,metric,value,baseline_value,relative_change_percent
alpha_0p50,alpha,0.5,0.0,BAFF,auc_mean,121.72492312624999,322.95853719999997,-62.309427029987795
alpha_0p50,alpha,0.5,0.0,BAFF,auc_cv,0.5556597609988295,0.2969201859416993,87.14111983882906
alpha_0p50,alpha,0.5,0.0,Phenotype_noncanonical,final_mean,0.32605555664999997,0.7724286863250001,-57.78826415661992
alpha_0p50,alpha,0.5,0.0,Phenotype_noncanonical,final_cv,0.508451751613768,0.2250256583715686,125.95278924779252
alpha_0p50,alpha,0.5,0.0,Phenotype_noncanonical,auc_mean,148.5686225,372.31345484999997,-60.09582233340015
alpha_0p50,alpha,0.5,0.0,Phenotype_noncanonical,auc_cv,0.5255016022796105,0.23614398690381916,122.5343991052569
alpha_0p50,alpha,0.5,100.0,TNFR,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,100.0,TNFR,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,TNFR,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,100.0,TNFR,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,IL1R,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,100.0,IL1R,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,IL1R,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,100.0,IL1R,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,CD40,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,100.0,CD40,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,CD40,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,100.0,CD40,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,LTB,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,100.0,LTB,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,LTB,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,100.0,LTB,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,BAFFR,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,100.0,BAFFR,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,BAFFR,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,100.0,BAFFR,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,100.0,TRAF2_5,final_mean,0.315604520025,0.45354472925000006,-30.413804930134138
alpha_0p50,alpha,0.5,100.0,TRAF2_5,final_cv,0.5459194449805865,0.4465662807070007,22.248245907928954
