condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,final_mean,final_sd,final_se,final_cv,auc_mean,auc_sd,auc_se,auc_cv
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,p100_RelB,0.2774050103875,0.1191835003870268,0.008427546132921616,0.42963715839357913,136.6273966875,58.73267553016496,4.153027314460885,0.4298748051571299
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,p52,0.2205329911375,0.1507301800230601,0.010658233242377487,0.683481320620557,108.09682578625001,73.81996262471414,5.219859615887286,0.6829059233495466
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,BAFF,0.55687522915,0.1939743846558797,0.013716060276666033,0.34832647333219907,271.0243414875,95.99587512458339,6.787933426652993,0.35419650721302776
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,Phenotype_noncanonical,0.6747821518500001,0.19103390874566367,0.013508137231063089,0.2831045667433855,324.3986709625,94.98434182375686,6.716407221011948,0.29280126685456404
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,BAFFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,TRAF2_5,0.40770093160000004,0.19482720014465915,0.013776363438187719,0.47786792975937153,203.22876250000002,96.99912635336624,6.858874001363601,0.47729034591433006
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,TRAF6,0.5553705819125,0.14644468796029786,0.010355203192547456,0.26368823400042923,276.9882913125,72.89484125866903,5.154443656752179,0.26316939576492276
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,TRAF2_3,0.605264414125,0.09053157997887055,0.006401549411459165,0.14957360430605765,301.9902445125,45.11653153981499,3.190220539541993,0.1493973145147327
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,Btx,0.3684961560125,0.16992148867630497,0.012015263691232838,0.4611214687149706,183.10695545,84.34048643432808,5.96377298862854,0.46060777007107456
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,TAK1_TAB,0.4158189169875,0.1473129008576373,0.01041659511526969,0.35427176311477354,206.8425386,73.14643367166308,5.1722339268844975,0.35363341683364485
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,NEMO_IKKa_IKKb,0.3219101123625,0.09660078428043001,0.00683070696326309,0.3000862059643804,159.8018374,47.93842141151581,3.3897582859461215,0.29998667219026487
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,IkBa_release_signal,0.1716181831125,0.07611214060125927,0.005381941074977438,0.44349694898800945,85.09520656500001,37.841172293255035,2.675774953660913,0.4446921726942403
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,p50_p65,0.10497841554625001,0.0573585884468555,0.004055864685005988,0.5463845891404715,51.88062265124999,28.365667252703197,2.0057555667267617,0.5467487821682835
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,TNFa,0.368325763175,0.20408921780890033,0.014431286987973172,0.5540997622583704,179.1228405875,99.89968261687774,7.063974301677811,0.5577160472065961
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,p100,0.11293668228499999,0.10967410785062942,0.007755130538176483,0.9711114726556483,55.535778915,53.79977099759296,3.8042182898681327,0.9687407298263687
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,Phenotype_canonical,0.5559983075,0.21663303240024415,0.01531826862392177,0.38962894217127475,266.5254267125,106.74430115511672,7.547961919980205,0.4005032558122922
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,NIK,0.3475756952125,0.17709974646220242,0.01252284316698416,0.5095285686012297,172.72000305,88.00864957373403,6.223151291665789,0.5095452062275426
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,IKKa_noncanonical,0.2431101658375,0.15099214473810255,0.010676756945021298,0.6210852771949853,120.37459422124999,74.6823144606052,5.280837098980009,0.6204159186891063
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,p100_RelB,0.2446519658375,0.11643964088988695,0.008233525967216547,0.47593993570126136,120.60819955,57.40842261489815,4.059388492821763,0.47599104230967815
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,p52,0.20205345098750002,0.1451369327623721,0.01026273093568893,0.7183095960650083,99.0795444125,71.11897706649201,5.028871095476705,0.7177967711518821
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,BAFF,0.5261984002875,0.19756471159605588,0.013969934729273565,0.3754566936883732,256.0605334,97.73082455570969,6.910612877429507,0.38167078408386107
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,Phenotype_noncanonical,0.6527401475375,0.19777379250276203,0.01398471898196842,0.30299008456715143,313.524693525,98.16918162377242,6.941609402970328,0.3131146721492435
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,BAFFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,TRAF2_5,0.3710301767125,0.1869827267206159,0.013221675402889854,0.5039555768141822,184.99477605,93.10593684133542,6.583583930923468,0.5032895459500485
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,TRAF6,0.5140471887875,0.15004758555636355,0.010609966524757333,0.29189457471849173,256.4177376,74.70473574073849,5.282422522902523,0.291339969067485
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,TRAF2_3,0.562550321825,0.09375616052610557,0.006629561688602375,0.16666270889677234,280.72202888749996,46.73069931260685,3.304359437353384,0.1664660928029068
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,Btx,0.3206322692125,0.16174848688777568,0.011437345192500954,0.5044672742548455,159.37367051249998,80.28391211650894,5.67692986777683,0.5037463958653831
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,TAK1_TAB,0.3609828424125,0.14237756233464902,0.01006761398156407,0.3944164253988344,179.6141438875,70.68967720425162,4.998515011101443,0.39356409063490894
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,NEMO_IKKa_IKKb,0.3235878246875,0.13923506145331735,0.009845405613256636,0.43028522963675,160.5515691625,68.90558459561798,4.872360612918478,0.4291803870560503
